column,min,median,mean,75p,95p,max
rssi,-36.0,-34.0,-33.5064,-32.0,-32.0,-32.0
rate_gap,0.0,0.0,0.0956,0.0,0.0,5.0
throughput,35.4894,132.0204,129.0828,134.6144,143.6311,144.444
data_rate,39.0,144.444,137.8849,144.444,144.444,144.444
