column,min,median,mean,75p,95p,max
rssi,-61.0,-50.0,-33.9405,0.0,0.0,0.0
rate_gap,0.0,1.0,1.1718,1.0,3.0,5.0
throughput,34.1722,130.1231,125.2377,131.6375,136.0702,163.8358
data_rate,39.0,144.444,137.7745,144.444,144.444,173.333
