column,min,median,mean,75p,95p,max
rssi,-58.0,-47.0,-26.066,0.0,0.0,0.0
rate_gap,0.0,0.0,0.0055,0.0,0.0,2.0
throughput,129.5555,172.7688,172.7157,172.8941,173.333,173.333
data_rate,130.0,173.333,173.1727,173.333,173.333,173.333
