column,min,median,mean,75p,95p,max
rssi,-65.0,-36.0,-22.9243,0.0,0.0,0.0
rate_gap,0.0,1.0,1.5509,2.0,5.0,7.0
throughput,0.0,70.346,66.3281,89.0104,92.583,132.407
data_rate,6.5,117.0,107.3802,144.444,144.444,144.444
