column,min,median,mean,75p,95p,max
rssi,-57.0,-48.0,-28.924,0.0,0.0,0.0
rate_gap,0.0,0.0,0.2902,1.0,1.0,4.0
throughput,75.2355,165.4388,156.295,167.2897,167.7836,173.333
data_rate,78.0,173.333,164.5782,173.333,173.333,173.333
