column,min,median,mean,75p,95p,max
rssi,-44.0,-36.0,-22.1915,0.0,0.0,0.0
rate_gap,0.0,0.0,0.0854,0.0,1.0,4.0
throughput,56.7129,142.6591,141.261,142.8996,144.444,144.444
data_rate,57.7778,144.444,142.9289,144.444,144.444,144.444
